business_unit	source_metric	target_type	target_name	target_ref	note
Москва	Комиссии платежных систем (агрегаторы_МДТЗК)	weekly_metric	Из них агрегаторы (вычет комиссии)МДТЗК	b2c_moscow.iz_nih_agregatory_vychet_komissii_mdtzk.iz_nih_agregatory_vychet_komissii_mdtzk	
Москва	Комиссии за снятие наличных			
Москва	Банковское обслуживание	pnl_article	КОМИССИИ БАНКОВ	expense/Расходы/Сервисы и их настройка/КОМИССИИ БАНКОВ	
Москва	Налог6%			
Москва	Налог страховые взносы	pnl_article	Страховые взносы	expense/Расходы/Разные налоги и взносы/Страховые взносы	
Москва	Возвраты	pnl_article	Возвраты	expense/Расходы/Возвраты	
Москва	процент возвратов от выручки	weekly_metric	% возвратов от выручки	b2c_moscow.summa_vozvratov.pct_vozvratov_ot_vyruchki	
Москва	Логистика	pnl_article	Логистика	expense/Расходы/Логистика	
Москва	Прочие расходы	pnl_article	Прочие расходы	expense/Расходы/Прочие расходы	
СПб	Питер			
Общее	Итого переменные расходы	calculated_formula	Сумма переменных расходов всех бизнес-юнитов	Москва переменные расходы + СПб переменные расходы + B2B переменные расходы + Франшиза переменные расходы	
Общее	Маржинальный доход	calculated_formula	Расчетная выручка периода - Итого переменные расходы	Расчетная выручка периода (по реализации) - Итого переменные расходы	
Общее	% переменных расходов к выручке	calculated_formula	Итого переменные расходы / Расчетная выручка периода	Итого переменные расходы / Расчетная выручка периода (по реализации)	
Москва	Маркетинг  	pnl_article	Маркетинг и реклама	expense/Расходы/Маркетинг и реклама	
Москва	Контекстная реклама_бюджет_ритейл			
Москва	Контекстная реклама_бюджет_франшиза			
Москва	Контекст_ведение_ритейл			
Москва	Контекст_ведение_франшиза			
Москва	Контекстна реклама_корпоратив			
Москва	Таргетированная реклама_бюджет	weekly_metric	Таргет_бюджет с НДС	b2c_moscow.marketing_kanaly.target_byudzhet_s_nds	
Москва	Таргетолог_ведение	weekly_metric	Ведение_таргет	b2c_moscow.marketing_kanaly.vedenie_target	
Москва	Инстаграм_ведение			
Москва	Тик-Ток_ведение			
Москва	Тик-Ток_бюджет			
Москва	Youtube_ведение	weekly_metric	Youtube ведение	b2c_moscow.marketing_kanaly.youtube_vedenie	
Москва	Youtube_бюджет	weekly_metric	Youtube бюджет	b2c_moscow.marketing_kanaly.youtube_byudzhet	
Москва	Размещение у блогеров, афишах, дзене, паблики_бюджет			
Москва	Размещение у блогеров, афишах, дзене, паблики_ведение			
Москва	PR	weekly_metric	Пиар	b2c_moscow.marketing_kanaly.piar	
Москва	Кросс-промо / Интеграция в фестивали			
Москва	Рилс-мэйкинг			
Франшиза	Продвижение франшизы			
Москва	Прочие расходы на рекламу	weekly_metric	Прочие затраты	b2c_moscow.marketing_kanaly.prochie_zatraty	
Общее	Итого расходы на маркетинг	calculated_formula	Сумма маркетинговых расходов	Сумма строк блока Маркетинг	
Общее	% к марже	calculated_formula	Итого расходы на маркетинг / Маржинальный доход	Итого расходы на маркетинг / Маржинальный доход	
Общее	% к выручке	calculated_formula	Итого расходы на маркетинг / Расчетная выручка периода	Итого расходы на маркетинг / Расчетная выручка периода (по реализации)	
Общее	%з/п исполнителей в бюджете на маркетинг от всего маркетинга	calculated_formula	Маркетинговые расходы на исполнителей / Итого расходы на маркетинг	Выделенные строки ведения / Итого расходы на маркетинг	
Москва	Постоянные расходы	calculated_formula	Сумма постоянных расходов Москва	Сумма строк блока постоянных расходов Москва	
Москва	Аренда помещения	pnl_article	Аренда и коммуналка	expense/Расходы/Помещение и офис/Аренда и коммуналка	
Москва	Электроэнергия			
Москва	ЗП  управляющего, администратора, второго дминистратора, креативного директора,  худрука, завхоз, корпорат менеджера	pnl_article	Административный персонал ФОТ	expense/Расходы/ФОТ/Административный персонал ФОТ	
Москва	ЗП директор фикс	pnl_article	Управленческий персонал ФОТ	expense/Расходы/ФОТ/Управленческий персонал ФОТ	
Общее	Разработка и IT			
Москва	Подарки			
Москва	Уборка помещения	pnl_article	Уборка	expense/Расходы/Помещение и офис/Уборка	
Москва	Ремонт помещения	pnl_article	Ремонт и обслуживание	expense/Расходы/Помещение и офис/Ремонт и обслуживание	
Москва	Хоз.расходы на помещение	pnl_article	Расходники (офисные)	expense/Расходы/Помещение и офис/Расходники (офисные)	
Москва	Расходы на проведение спектаклей	pnl_article	Для спектаклей	expense/Расходы/Для спектаклей	
Москва	Реквизит для проведения спектаклей	pnl_article	Реквизит/костюмы	expense/Расходы/Для спектаклей/Реквизит/костюмы	
Москва	Электронные  и бухгалтерские сервисы	pnl_article	Сервисы и их настройка	expense/Расходы/Сервисы и их настройка	
Общее	Итого постоянные расходы	calculated_formula	Сумма постоянных расходов	Сумма строк блока Постоянные расходы	
Общее	%постоянных расходов к выручке	calculated_formula	Итого постоянные расходы / Расчетная выручка периода	Итого постоянные расходы / Расчетная выручка периода (по реализации)	
Общее	Прибыль до выплаты акционерам,развития и % директора	calculated_formula	Маржинальный доход - Итого расходы на маркетинг - Итого постоянные расходы	Маржинальный доход - маркетинг - постоянные расходы	
Общее	12% прибыли	calculated_formula	Прибыль до выплаты акционерам * 12%	Прибыль до выплаты акционерам,развития и % директора * 0.12	
Общее	5 % прибыли	calculated_formula	Прибыль до выплаты акционерам * 5%	Прибыль до выплаты акционерам,развития и % директора * 0.05	
Общее	10 % прибыли	calculated_formula	Прибыль до выплаты акционерам * 10%	Прибыль до выплаты акционерам,развития и % директора * 0.10	
Общее	% от выручки	calculated_formula	(12% + 5% + 10%) / Расчетная выручка периода	(12% прибыли + 5 % прибыли + 10 % прибыли) / Расчетная выручка периода (по реализации)	
Москва	Зарплата на разработку шоу			
Москва	Сайт, презентации, дизайн			
Москва	Доработка софта, озвучка и пр			
Москва	Обучение			
Москва	Реквизит и оборудование			
Москва	Сценарии			
Москва	СRM			
Москва	Реклама			
Москва	Оборудование и ремонт			
Москва	Европейская франшиза			
Москва	Итого, расходы инвестиции Москва	calculated_formula	Сумма инвестиционных расходов Москвы	Сумма строк инвестиционного блока Москва	
Москва	% инвестиций от выручки	calculated_formula	Итого, расходы инвестиции Москва / Расчетная выручка периода	Итого, расходы инвестиции Москва / Расчетная выручка периода (по реализации)	
Спб	Инвестии в Петербург			
Спб	МОРФЕУС САНКТ-ПЕТЕРБУРГ			
Спб	Проведено шоу	weekly_metric	Проведено шоу всего (без СД)	b2c_spb.sayt.provedeno_shou_vsego_bez_sd	
Спб	Гостей	weekly_metric	Зрители (без СД)	b2c_spb.sayt.zriteli_bez_sd	Блок: шоу
Спб	Среднее количество гостей	calculated_formula	Гостей / Проведено шоу	Зрители (без СД) / Проведено шоу всего (без СД)	Блок: шоу
Спб	%заполняемости	weekly_metric	Средняя загрузка шоу	b2c_spb.zriteli_po_sertifikatam.srednyaya_zagruzka_shou	Блок: шоу
Спб	Проведено СД	weekly_metric	Проведено шоу СД	b2c_spb.sayt.provedeno_shou_sd	
Спб	Гостей	weekly_metric	Зрители СД	b2c_spb.sayt.zriteli_sd	Блок: СД
Спб	Среднее количество гостей	calculated_formula	Гостей / Проведено СД	Зрители СД / Проведено шоу СД	Блок: СД
Спб	%заполняемости	weekly_metric	Средняя загрузка СД	b2c_spb.zriteli_po_sertifikatam.srednyaya_zagruzka_sd	Блок: СД
Спб	Реализация шоу	pnl_article	Продажа билетов СПБ	income/Доходы/Продажа билетов B2C/Продажа билетов СПБ	
Спб	Реализация СД			
Спб	Выручка_сертификаты	weekly_metric	Сертификаты	b2c_spb.postupleniya_na_schet.sertifikaty	
Спб	Выручка_сертификаты с понижающем кэфом	calculated_formula	Выручка_сертификаты * коэффициент признания	Сертификаты * business_rule	Нужен согласованный коэффициент
Спб	% отнесения на выручку	calculated_formula	Выручка_сертификаты с понижающем кэфом / Выручка_сертификаты	Выручка_сертификаты с понижающем кэфом / Выручка_сертификаты	
Спб	Спецпроекты_корпоративы	pnl_article	Организация мероприятий (B2B)	income/Доходы/Организация мероприятий (B2B)	
