source_business_unit,canonical_business_unit,source_label,mapped_layer,mapped_metric,mapping_type,status,note,upd_layer,upd_metric,upd_note
Москва,b2c_moscow,Контекстная реклама_бюджет_ритейл,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Контекстная реклама_бюджет_франшиза,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Контекст_ведение_ритейл,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Контекст_ведение_франшиза,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Контекстна реклама_корпоратив,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Таргетированная реклама_бюджет,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Таргетолог_ведение,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Инстаграм_ведение,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Тик-Ток_ведение,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Тик-Ток_бюджет,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Youtube_ведение,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Youtube_бюджет,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,"Размещение у блогеров, афишах, дзене, паблики_бюджет",fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,"Размещение у блогеров, афишах, дзене, паблики_ведение",fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,PR,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Кросс-промо / Интеграция в фестивали,fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,Рилс-мэйкинг,unmapped,,,review_needed,,,,
Франшиза,franchise,Продвижение франшизы,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Прочие расходы на рекламу,unmapped,,,review_needed,,,,
Общее,general,Итого расходы на маркетинг,unmapped,,,review_needed,,,,
Общее,general,% к марже,unmapped,,,review_needed,,,,
Общее,general,% к выручке,calculated,% общ. к выручке,derived_similar,mapped,,,,
Общее,general,%з/п исполнителей в бюджете на маркетинг от всего маркетинга,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Постоянные расходы,fact,Costs - Salary fixed,approx_rollup,mapped,,,,
Москва,b2c_moscow,Аренда помещения,fact,Venue and office costs,broad_cost_rollup,mapped,,,,
Москва,b2c_moscow,Электроэнергия,unmapped,,,review_needed,,,,
Москва,b2c_moscow,"ЗП  управляющего, администратора, второго дминистратора, креативного директора,  худрука, завхоз, корпорат менеджера",fact,Costs - Salary fixed,approx_salary_rollup,mapped,,,,
Москва,b2c_moscow,ЗП директор фикс,fact,Costs - Salary fixed,approx_salary_rollup,mapped,,,,
Общее,general,Разработка и IT,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Подарки,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Уборка помещения,fact,Venue and office costs,broad_cost_rollup,mapped,,,,
Москва,b2c_moscow,Ремонт помещения,fact,Venue and office costs,broad_cost_rollup,mapped,,,,
Москва,b2c_moscow,Хоз.расходы на помещение,fact,Venue and office costs,broad_cost_rollup,mapped,,,,
Москва,b2c_moscow,Расходы на проведение спектаклей,fact,Show production costs,rollup,mapped,,,,
Москва,b2c_moscow,Реквизит для проведения спектаклей,fact,Show production costs,broad_cost_rollup,mapped,,,,
Москва,b2c_moscow,Электронные  и бухгалтерские сервисы,fact,Services and setup costs,services_rollup,mapped,,,,
Общее,general,Итого постоянные расходы,unmapped,,,review_needed,,,,
Общее,general,%постоянных расходов к выручке,unmapped,,,review_needed,,,,
Общее,general,"Прибыль до выплаты акционерам,развития и % директора",unmapped,,,review_needed,,,,
Общее,general,12% прибыли,unmapped,,,review_needed,,,,
Общее,general,5 % прибыли,unmapped,,,review_needed,,,,
Общее,general,10 % прибыли,unmapped,,,review_needed,,,,
Общее,general,% от выручки,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Зарплата на разработку шоу,fact,Costs - Salary variable,approx_salary_rollup,mapped,,,,
Москва,b2c_moscow,"Сайт, презентации, дизайн",fact,Marketing costs,marketing_rollup,mapped,,,,
Москва,b2c_moscow,"Доработка софта, озвучка и пр",unmapped,,,review_needed,,,,
Москва,b2c_moscow,Обучение,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Реквизит и оборудование,fact,Show production costs,broad_cost_rollup,mapped,,,,
Москва,b2c_moscow,Сценарии,unmapped,,,review_needed,,,,
Москва,b2c_moscow,СRM,fact,Services and setup costs,services_rollup,mapped,,,,
Москва,b2c_moscow,Реклама,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Оборудование и ремонт,fact,Show production costs,broad_cost_rollup,mapped,,,,
Москва,b2c_moscow,Европейская франшиза,unmapped,,,review_needed,looks like franchise revenue but row sits in Moscow section,,,
Москва,b2c_moscow,"Итого, расходы инвестиции Москва",unmapped,,,review_needed,,,,
Москва,b2c_moscow,% инвестиций от выручки,unmapped,,,review_needed,,,,
Спб,b2c_spb,Инвестии в Петербург,unmapped,,,review_needed,,,,
Спб,b2c_spb,МОРФЕУС САНКТ-ПЕТЕРБУРГ,exclude,,,exclude,header / structural row,,,
Спб,b2c_spb,Проведено шоу,fact,Number of shows,direct,mapped,,,,
Спб,b2c_spb,Гостей,fact,Number of show visitors,direct,mapped,,,,
Спб,b2c_spb,Среднее количество гостей,calculated,Средняя загрузка шоу (по факту дошедшие зрители),related_input,mapped,,,,
Спб,b2c_spb,%заполняемости,calculated,Средняя загрузка шоу (по факту дошедшие зрители),derived_equivalent,mapped,,,,
Спб,b2c_spb,Проведено СД,calculated,Средняя загрузка СД (по факту дошедшие зрители),related_input,mapped,,,,
Спб,b2c_spb,Реализация шоу,fact,Revenue,rollup_revenue,mapped,,,,
Спб,b2c_spb,Реализация СД,fact,Revenue,rollup_revenue,mapped,,,,
Спб,b2c_spb,Выручка_сертификаты,fact,Revenue,rollup_revenue,mapped,,,,
Спб,b2c_spb,Выручка_сертификаты с понижающем кэфом,fact,Revenue,rollup_revenue,mapped,,,,
Спб,b2c_spb,% отнесения на выручку,unmapped,,,review_needed,,,,
Спб,b2c_spb,Спецпроекты_корпоративы,fact,Revenue,rollup_revenue,mapped,,,,
Спб,b2c_spb,Расчетная выручка периода (по реализации),unmapped,,,review_needed,,,,
Спб,b2c_spb,Переменные расходы,fact,Costs - Salary variable,approx_rollup,mapped,,,,
Спб,b2c_spb,ЗП актеров по начислению,fact,Costs - Salary variable,approx_salary_rollup,mapped,,,,
Спб,b2c_spb,% ФОТ в выручке ШОУ,unmapped,,,review_needed,,,,
Спб,b2c_spb,Зарплаты на 1 шоу,fact,Costs - Salary variable,approx_salary_rollup,mapped,,,,
Спб,b2c_spb,ЗП СД,fact,Costs - Salary variable,approx_salary_rollup,mapped,,,,
Спб,b2c_spb,% ФОТ в выручке CД,unmapped,,,review_needed,,,,
Спб,b2c_spb,Митя_Бонус СД,unmapped,,,review_needed,,,,
Спб,b2c_spb,Комиссии платежных систем,fact,Marketing costs,broad_cost_rollup,mapped,,,,
Спб,b2c_spb,Комиссии платежных систем (агрегаторы),fact,Marketing costs,broad_cost_rollup,mapped,,,,
Спб,b2c_spb,Комиссии платежных систем (агрегаторы_ДТЗК),fact,Marketing costs,broad_cost_rollup,mapped,,,,
Спб,b2c_spb,Налог6%,unmapped,,,review_needed,,,,
Спб,b2c_spb,Налог страховые взносы,unmapped,,,review_needed,,,,
Спб,b2c_spb,Возвраты,fact,Returns amount,direct,mapped,,,,
Спб,b2c_spb,Логистика (командировки Москвы в Питер),unmapped,,,review_needed,,,,
Спб,b2c_spb,Прочие расходы,fact,Other expenses,direct,mapped,,,,
Спб,b2c_spb,Общие расходы спецпроекты_корпоративы,unmapped,,,review_needed,,,,
Спб,b2c_spb,Итого переменные расходы,unmapped,,,review_needed,,,,
Спб,b2c_spb,Маржинальный доход,unmapped,,,review_needed,,,,
Спб,b2c_spb,% переменных расходов к выручке,unmapped,,,review_needed,,,,
Спб,b2c_spb,Маркетинг,fact,Marketing costs,rollup,mapped,,,,
Спб,b2c_spb,Контекстная реклама_ведение_ритейл,fact,Marketing costs,marketing_rollup,mapped,,,,
Спб,b2c_spb,Контекст_бюджет_ритейл,fact,Marketing costs,marketing_rollup,mapped,,,,
Спб,b2c_spb,Инстаграм_ведение,fact,Marketing costs,marketing_rollup,mapped,,,,
Спб,b2c_spb,"Размещение у блогеров, афишах, дзене, паблики",fact,Marketing costs,marketing_rollup,mapped,,,,
Спб,b2c_spb,PR,fact,Marketing costs,marketing_rollup,mapped,,,,
Спб,b2c_spb,Кросс-промо и  SEO,fact,Marketing costs,marketing_rollup,mapped,,,,
Спб,b2c_spb,Прочие расходы на рекламу,unmapped,,,review_needed,,,,
Спб,b2c_spb,Итого расходы на маркетинг,unmapped,,,review_needed,,,,
Спб,b2c_spb,% к марже,unmapped,,,review_needed,,,,
Спб,b2c_spb,% к выручке,calculated,% общ. к выручке,derived_similar,mapped,,,,
Спб,b2c_spb,%з/п исполнителей в бюджете на маркетинг от всего маркетинга,unmapped,,,review_needed,,,,
Спб,b2c_spb,Постоянные расходы,fact,Costs - Salary fixed,approx_rollup,mapped,,,,
Спб,b2c_spb,Аренда помещения и коммуналка,fact,Venue and office costs,rollup,mapped,,,,
Спб,b2c_spb,"ЗП  худрука, админов  и ХПЧ",fact,Costs - Salary fixed,approx_salary_rollup,mapped,,,,
Спб,b2c_spb,ЗП директор фикс,fact,Costs - Salary fixed,approx_salary_rollup,mapped,,,,
Спб,b2c_spb,Разработка и IT,unmapped,,,review_needed,,,,
Спб,b2c_spb,Подарки,unmapped,,,review_needed,,,,
Спб,b2c_spb,Уборка помещения,fact,Venue and office costs,broad_cost_rollup,mapped,,,,
Спб,b2c_spb,Ремонт помещения,fact,Venue and office costs,broad_cost_rollup,mapped,,,,
Спб,b2c_spb,Хоз.расходы на помещение,fact,Venue and office costs,broad_cost_rollup,mapped,,,,
Спб,b2c_spb,Расходы на проведение спектаклей,fact,Show production costs,rollup,mapped,,,,
Спб,b2c_spb,Реквизит для проведения спектаклей,fact,Show production costs,broad_cost_rollup,mapped,,,,
Спб,b2c_spb,Электронные  и бухгалтерские сервисы,fact,Services and setup costs,services_rollup,mapped,,,,
Спб,b2c_spb,Итого постоянные расходы,unmapped,,,review_needed,,,,
Спб,b2c_spb,%постоянных расходов к выручке,unmapped,,,review_needed,,,,
Спб,b2c_spb,"Прибыль до выплаты акционерам,развития и % директора",unmapped,,,review_needed,,,,
Спб,b2c_spb,ИТОГОВАЯ ПРИБЫЛЬ ПО НАПРАВЛЕНИЯМ,exclude,,,exclude,header / structural row,,,
Москва,b2c_moscow,Прибыль_театр Москва,fact,Net profit,approx_profit_rollup,mapped,,,,
Спб,b2c_spb,Прибыль_театр Петербург,fact,Net profit,approx_profit_rollup,mapped,,,,
Франшиза,franchise,Прибыль_франшиза,fact,Net profit,approx_profit_rollup,mapped,,,,
Франшиза,franchise,Прибыль_Китай,fact,Net profit,approx_profit_rollup,mapped,,,,
B2B,b2b,Прибыль_корпоратив Москва,fact,Net profit,approx_profit_rollup,mapped,,,,
B2B,b2b,Прибыль_корпоратив Петербург,fact,Net profit,approx_profit_rollup,mapped,,,,
B2B,b2b,Прибыль_корпоратив общая,fact,Net profit,approx_profit_rollup,mapped,,,,
Общее,general,Общая прибыль,unmapped,,,review_needed,,,,
Общее,general,Директорский процент,unmapped,,,review_needed,,,,
Москва,b2c_moscow,Театр Москва,unmapped,,,review_needed,,,,
Спб,b2c_spb,Театр Петербург,unmapped,,,review_needed,,,,
B2B,b2b,Корпоратив,unmapped,,,review_needed,,,,
Франшиза,franchise,Франшиза,fact,Revenue,rollup_revenue,mapped,,,,
Франшиза,franchise,Китай,unmapped,,,review_needed,,,,
Общее,general,"Итого, процент директора",unmapped,,,review_needed,,,,
,,Годовые бонусы,unmapped,,,review_needed,,,,
Общее,general,Прибыль для основателей,unmapped,,,review_needed,,,,
Общее,general,Рентабельность общая после выплаты основателям:,unmapped,,,review_needed,,,,
Франшиза,franchise,Прибыль от европейской франшизы,unmapped,,,review_needed,,,,
Общее,general,Снятие наличных/перевод на карту для ПСН,unmapped,,,review_needed,,,,
Общее,general,Комиссия за снятие наличных / налоги на ИП,fact,Marketing costs,broad_cost_rollup,mapped,,,,
Общее,general,"Входящий остаток на начало периода,  1 число месяца",unmapped,,,review_needed,,,,
Общее,general,"Входящий остаток на конец периода, 1 число месяца",unmapped,,,review_needed,,,,
Общее,general,Сальдо,unmapped,,,review_needed,,,,
Общее,general,Вывод для ПСН (депозитный счет):,unmapped,,,review_needed,,,,
,,дата вывода,exclude,,,exclude,header / structural row,,,
,,СУММА К ПЕРЕВОДУ ПСН ПО РЕЗУЛЬТАТАМ МЕСЯЦА,unmapped,,,review_needed,,,,
,,СУММА К ПЕРЕВОДУ НАКОПИТЕЛЬНЫМ ИТОГОМ ЗА ГОД,unmapped,,,review_needed,,,,
,,ГОДОВЫЕ БОНУСЫ,unmapped,,,review_needed,,,,
,,СУММА ПЕРЕВЕДЕННАЯ ПО ИТОГУ МЕСЯЦА,unmapped,,,review_needed,,,,
,,СУММА ПЕРЕВЕДЕННАЯ НАКОПИТЕЛЬНЫМ ИТОГОМ ЗА ГОД,unmapped,,,review_needed,,,,
,,Сальдо,unmapped,,,review_needed,,,,
,,Отложено на депозит по итогу месяца,unmapped,,,review_needed,,,,
,,Отложено на депозит накопительным итогом за год,unmapped,,,review_needed,,,,
,,Сальдо с учетом депозита,unmapped,,,review_needed,,,,
,,Дополнительно,unmapped,,,review_needed,,,,
,,Процент выполнения годового плана,unmapped,,,review_needed,,,,
,,Театр Москва,unmapped,,,review_needed,,,,
,,Театр Москва накопительным итогом,unmapped,,,review_needed,,,,
,,Театр Петербург,unmapped,,,review_needed,,,,
,,Театр Петербург накопительным итогом,unmapped,,,review_needed,,,,
,,Франшиза (без учета Китая и Чехии),fact,Revenue,rollup_revenue,mapped,summary sheet row without explicit business unit,,,
,,Франшиза накопительным итогом,fact,Revenue,rollup_revenue,mapped,summary sheet row without explicit business unit,,,
,,Корпоратив,unmapped,,,review_needed,,,,
,,Корпоратив накопительным итогом,unmapped,,,review_needed,,,,
