unit,metric_name,scope,status,value,reason
b2c_moscow,Number of show visitors,show:До свадьбы доживёт,inserted,31,
b2c_moscow,Number of show visitors,show:Ответ Гиппократа,inserted,46,
b2c_moscow,Number of show visitors,"show:Поезд, Чехов, два орла",inserted,48,
b2c_moscow,Number of show visitors,show:22'07,inserted,24,
b2c_moscow,Number of show visitors,show:Судный день,inserted,45,
b2c_moscow,Number of show visitors,show:ВДОХ,inserted,3,
b2c_moscow,Number of show visitors,show:Загадка Амулета,inserted,6,
b2c_moscow,Number of show visitors,show:Иное место,inserted,0,
b2c_moscow,Source share,,skipped,,direct_erp_source_share_not_available
b2c_moscow,Quality - Internal,survey,skipped,,survey_endpoints_not_working
b2c_spb,Number of tickets,general,inserted,101,
b2c_spb,Number of orders,general,inserted,51,
b2c_spb,Revenue,general,inserted,346625,
b2c_spb,Website orders,general,inserted,31,
b2c_spb,show_join,,skipped,5,missing_show_join
b2c_spb,Number of tickets,show:Ответ Гиппократа,inserted,46,
b2c_spb,Number of orders,show:Ответ Гиппократа,inserted,20,
b2c_spb,Revenue,show:Ответ Гиппократа,inserted,151000,
b2c_spb,Number of tickets,show:До свадьбы доживёт,inserted,27,
b2c_spb,Number of orders,show:До свадьбы доживёт,inserted,12,
b2c_spb,Revenue,show:До свадьбы доживёт,inserted,84500,
b2c_spb,Number of tickets,show:22'07,inserted,6,
b2c_spb,Number of orders,show:22'07,inserted,3,
b2c_spb,Revenue,show:22'07,inserted,19000,
b2c_spb,Number of tickets,show:Судный день,inserted,14,
b2c_spb,Number of orders,show:Судный день,inserted,9,
b2c_spb,Revenue,show:Судный день,inserted,63000,
b2c_spb,Number of tickets,show:ВДОХ,inserted,3,
b2c_spb,Number of orders,show:ВДОХ,inserted,2,
b2c_spb,Revenue,show:ВДОХ,inserted,9000,
b2c_spb,Number of tickets,partner:афиша.ру,inserted,22,
b2c_spb,Number of orders,partner:афиша.ру,inserted,10,
b2c_spb,Revenue,partner:афиша.ру,inserted,70500,
b2c_spb,Number of tickets,partner:яндекс.афиша,inserted,17,
b2c_spb,Number of orders,partner:яндекс.афиша,inserted,9,
b2c_spb,Revenue,partner:яндекс.афиша,inserted,62500,
b2c_spb,Number of tickets,partner:кассир,inserted,2,
b2c_spb,Number of orders,partner:кассир,inserted,1,
b2c_spb,Revenue,partner:кассир,inserted,6000,
b2c_spb,Number of tickets,show:Ответ Гиппократа|partner:афиша.ру,inserted,7,
b2c_spb,Number of orders,show:Ответ Гиппократа|partner:афиша.ру,inserted,3,
b2c_spb,Revenue,show:Ответ Гиппократа|partner:афиша.ру,inserted,24000,
b2c_spb,Number of tickets,show:Судный день|partner:яндекс.афиша,inserted,5,
b2c_spb,Number of orders,show:Судный день|partner:яндекс.афиша,inserted,3,
b2c_spb,Revenue,show:Судный день|partner:яндекс.афиша,inserted,22500,
b2c_spb,Number of tickets,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,2,
b2c_spb,Number of orders,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,1,
b2c_spb,Revenue,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,7000,
b2c_spb,Number of tickets,show:22'07|partner:афиша.ру,inserted,4,
b2c_spb,Number of orders,show:22'07|partner:афиша.ру,inserted,2,
b2c_spb,Revenue,show:22'07|partner:афиша.ру,inserted,12000,
b2c_spb,Number of tickets,show:До свадьбы доживёт|partner:афиша.ру,inserted,11,
b2c_spb,Number of orders,show:До свадьбы доживёт|partner:афиша.ру,inserted,5,
b2c_spb,Revenue,show:До свадьбы доживёт|partner:афиша.ру,inserted,34500,
b2c_spb,Number of tickets,show:Ответ Гиппократа|partner:кассир,inserted,2,
b2c_spb,Number of orders,show:Ответ Гиппократа|partner:кассир,inserted,1,
b2c_spb,Revenue,show:Ответ Гиппократа|partner:кассир,inserted,6000,
b2c_spb,Number of tickets,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,10,
b2c_spb,Number of orders,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,5,
b2c_spb,Revenue,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,33000,
b2c_spb,Number of shows,show:Ответ Гиппократа,inserted,17,
b2c_spb,Number of shows,show:До свадьбы доживёт,inserted,8,
b2c_spb,Number of shows,show:ВДОХ,inserted,3,
b2c_spb,Number of shows,show:22'07,inserted,4,
b2c_spb,Number of shows,show:Судный день,inserted,3,
b2c_spb,Number of shows,show:Загадка Амулета,inserted,1,
b2c_spb,Number of shows cancelled,show:22'07,inserted,2,
b2c_spb,Number of shows cancelled,show:Ответ Гиппократа,inserted,6,
b2c_spb,Number of shows cancelled,show:До свадьбы доживёт,inserted,4,
b2c_spb,Number of shows cancelled,show:Судный день,inserted,1,
b2c_spb,Number of shows cancelled,show:ВДОХ,inserted,2,
b2c_spb,Number of shows cancelled,show:Загадка Амулета,inserted,1,
b2c_spb,Number of show visitors,show:Ответ Гиппократа,inserted,48,
b2c_spb,Number of show visitors,show:До свадьбы доживёт,inserted,39,
b2c_spb,Number of show visitors,show:ВДОХ,inserted,6,
b2c_spb,Number of show visitors,show:22'07,inserted,13,
b2c_spb,Number of show visitors,show:Судный день,inserted,9,
b2c_spb,Number of show visitors,show:Загадка Амулета,inserted,0,
b2c_spb,Source share,,skipped,,direct_erp_source_share_not_available
b2c_spb,Quality - Internal,survey,skipped,,survey_endpoints_not_working
