source_business_unit,canonical_business_unit,source_label,mapped_layer,mapped_metric,mapping_type,status,note,upd_layer,upd_metric,upd_note
,,ГОДОВЫЕ БОНУСЫ,unmapped,,,review_needed,,,,
,,СУММА ПЕРЕВЕДЕННАЯ ПО ИТОГУ МЕСЯЦА,unmapped,,,review_needed,,,,
,,СУММА ПЕРЕВЕДЕННАЯ НАКОПИТЕЛЬНЫМ ИТОГОМ ЗА ГОД,unmapped,,,review_needed,,,,
,,Сальдо,unmapped,,,review_needed,,,,
,,Отложено на депозит по итогу месяца,unmapped,,,review_needed,,,,
,,Отложено на депозит накопительным итогом за год,unmapped,,,review_needed,,,,
,,Сальдо с учетом депозита,unmapped,,,review_needed,,,,
,,Дополнительно,unmapped,,,review_needed,,,,
,,Процент выполнения годового плана,unmapped,,,review_needed,,,,
,,Театр Москва,unmapped,,,review_needed,,,,
,,Театр Москва накопительным итогом,unmapped,,,review_needed,,,,
,,Театр Петербург,unmapped,,,review_needed,,,,
,,Театр Петербург накопительным итогом,unmapped,,,review_needed,,,,
,,Корпоратив,unmapped,,,review_needed,,,,
,,Корпоратив накопительным итогом,unmapped,,,review_needed,,,,
