workbook,business_unit,source_row_number,source_label,classification,target_metric_name,months_present,note
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,9,Паушалка,excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,10,Роялти,excluded,,8,Revenue child row is skipped; import only the top subtotal row `Выручка`.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,11,Переменные расходы,fact,Variable costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,12,ФОТ - Переменные,fact,Costs - Salary variable,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,13,Другое ФОТ,fact,Cost article - Другое ФОТ,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,14,Другое,fact,Cost article - Другое,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,15,Для спектаклей,fact,Show production costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,16,Реквизит/костюмы,fact,Cost article - Реквизит/костюмы,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,17,Логистика,fact,Variable logistics costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,18,Доставка,fact,Cost article - Доставка,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,19,Постоянные расходы,fact,Fixed costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,20,Сервисы и их настройка,fact,Services and setup costs,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,21,Операционная прибыль,fact,Operating profit,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,22,Операционная рентабельность,calculated,,8,Derived percentage / margin row; do not import into raw fact layer.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,23,Прочие доходы,fact,Other income,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,24,Прочие расходы,fact,Other expenses,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,25,EBITDA,fact,EBITDA,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,26,Рентабельность по EBITDA,calculated,,8,Derived percentage / margin row; do not import into raw fact layer.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,27,Амортизация,fact,Cost article - Амортизация,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,28,Прибыль до процентов и налогов (EBIT),fact,EBIT,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,29,Рентабельность по EBIT,calculated,,8,Derived percentage / margin row; do not import into raw fact layer.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,30,Проценты по кредитам и займам,fact,Cost article - Проценты по кредитам и займам,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,31,Прибыль до налогов (EBT),fact,EBT,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,32,Рентабельность по EBT,calculated,,8,Derived percentage / margin row; do not import into raw fact layer.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,33,Налог на прибыль (доходы),fact,Cost article - Налог на прибыль (доходы),8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,34,Чистая прибыль (убыток),fact,Net profit,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,35,Рентабельность чистой прибыли,calculated,,8,Derived percentage / margin row; do not import into raw fact layer.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,36,Дивиденды,fact,Dividends,8,Observed monthly P&L row; import into fact_metric_observation.
Отчет о прибылях и убытках по периоду (9).xlsx,franchise,37,Нераспределенная прибыль,fact,Retained earnings,8,Observed monthly P&L row; import into fact_metric_observation.
