sheet_unit,row_number,col_a,col_b,value,transfer_status,reason,target_metric_or_metrics,source_cell_a1,source_cell_url
b2c_moscow,149,ПРОТОКОЛ-БОТ,Процент от общего количества ОГ,100%,не перенесено,not_map_to_metric,Quality - Internal,KZ149,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ149
b2c_moscow,162,Процент ОГ с убийствами,Процент ОГ с убийствами,42%,перенесено,,Share of OG with murders,KZ162,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ162
b2c_moscow,174,Процент ОГ с убийствами больше 1,Процент ОГ с убийствами больше 1,11%,перенесено,,Share of OG with more than one murder,KZ174,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ174
b2c_moscow,175,Процент ОГ с 1 убийством,Процент ОГ с 1 убийством,32%,перенесено,,Share of OG with one murder,KZ175,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ175
b2c_moscow,176,Количество погибших всего на ОГ,Количество погибших всего на ОГ,14,перенесено,,Number of deaths on OG,KZ176,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ176
b2c_moscow,188,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог","Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",13%,перенесено,,Share killed of total viewers passed through master on OG,KZ188,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ188
b2c_moscow,229,"Процент ОГ, где зрители вышли за фельдшером/ выжили","Процент ОГ, где зрители вышли за фельдшером/ выжили",95%,перенесено,,Share of OG where viewers went for paramedic and survived,KZ229,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ229
b2c_moscow,230,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили","Процент ОГ, где зрители не вышли за фельдшером/ не выжили",5%,перенесено,,Share of OG where viewers did not go for paramedic and did not survive,KZ230,https://docs.google.com/spreadsheets/d/1gHuxPxZntVLAxhxY9yFuBRhvozm45r2LcnvId83CY-s/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!KZ230
b2c_spb,4,Поступления на счет,40 360,551 180,перенесено,,Revenue,IQ4,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ4
b2c_spb,7,билеты,,390 315,перенесено,,Number of tickets,IQ7,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ7
b2c_spb,8,билеты виджет (сайт),,265200,перенесено,,Number of tickets,IQ8,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ8
b2c_spb,9,билеты яндекс афиша,,56250,не перенесено,unsupported_value_type:date,Number of tickets,IQ9,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ9
b2c_spb,10,билеты от остальных агрегаторов,,68865,не перенесено,unsupported_value_type:date,Number of tickets,IQ10,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ10
b2c_spb,11,афиша.ру,,56265,не перенесено,missing_staging_row,Number of tickets,IQ11,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ11
b2c_spb,12,кассир,,12600,не перенесено,missing_staging_row,Number of tickets,IQ12,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ12
b2c_spb,13,тикетленд,,0,не перенесено,missing_staging_row,Number of tickets,IQ13,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ13
b2c_spb,14,билеты СД,,100 710,перенесено,,Number of tickets,IQ14,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ14
b2c_spb,15,билет сд виджет (сайт),,47520,не перенесено,unsupported_value_type:date,Number of tickets,IQ15,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ15
b2c_spb,16,билеты сд яндекс афиша,,36450,не перенесено,unsupported_value_type:date,Number of tickets,IQ16,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ16
b2c_spb,17,билеты сд от остальных агрегаторов,,16740,не перенесено,unsupported_value_type:date,Number of tickets,IQ17,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ17
b2c_spb,18,афиша.ру,,16740,не перенесено,unsupported_value_type:date,Number of tickets,IQ18,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ18
b2c_spb,19,кассир,,0,перенесено,,Number of tickets,IQ19,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ19
b2c_spb,20,тикетленд,,0,перенесено,,Number of tickets,IQ20,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ20
b2c_spb,21,Сертификаты,,36 995,не перенесено,multi_target_metric,Revenue; Number of certificates,IQ21,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ21
b2c_spb,22,сертификаты электронные,,30240,не перенесено,multi_target_metric,Revenue; Number of certificates,IQ22,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ22
b2c_spb,23,сертификаты бумажные,,6755,не перенесено,multi_target_metric,Revenue; Number of certificates,IQ23,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ23
b2c_spb,24,доля сертификатов в выручке,,"6,71%",не перенесено,not_map_to_metric,,IQ24,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ24
b2c_spb,25,Спецпоказы (продажи),,23 160,перенесено,,Revenue - Other,IQ25,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ25
b2c_spb,26,Другое юкасса\счет,,0,перенесено,,Revenue - Other,IQ26,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ26
b2c_spb,27,Сертификаты и билеты (бесплатные),,0,не перенесено,missing_staging_row,Number of free certificates and tickets,IQ27,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ27
b2c_spb,28,Сумма возвратов,,6 000,перенесено,,Returns amount,IQ28,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ28
b2c_spb,31,% возвратов от выручки,,"1,09%",не перенесено,not_map_to_metric,,IQ31,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ31
b2c_spb,33,Количество заходов на сайт,,2 328,перенесено,,Website visits,IQ33,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ33
b2c_spb,34,Количество билетов ,,115,перенесено,,Number of tickets,IQ34,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ34
b2c_spb,35,Количество заказов,,60,перенесено,,Number of orders,IQ35,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ35
b2c_spb,36,"конверсия в заказ, %",,"2,58%",не перенесено,not_map_to_metric,,IQ36,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ36
b2c_spb,37,"конверсия в билет, %",,"4,94%",не перенесено,not_map_to_metric,,IQ37,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ37
b2c_spb,38,"Всего билетов (выкуплено через сайт, все агрегаторы, по ссылке)",,214,перенесено,,Number of tickets,IQ38,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ38
b2c_spb,39,Проведено шоу всего (без СД),11,33,перенесено,,Number of shows,IQ39,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ39
b2c_spb,40,Отменено шоу (не СД),,11,перенесено,,Number of shows cancelled,IQ40,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ40
b2c_spb,41,"Кол-во, где не выкуплены билеты",,9,не перенесено,missing_staging_row,Number of cancelled non-SD shows - no tickets sold,IQ41,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ41
b2c_spb,42,Кол-во из-за дефицита актёров/ мастеров,,2,не перенесено,missing_staging_row,Number of cancelled non-SD shows - actor/master shortage,IQ42,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ42
b2c_spb,43,Кол-во из-за спецпоказов,,0,не перенесено,missing_staging_row,Number of cancelled non-SD shows - special shows,IQ43,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ43
b2c_spb,44,Проведено шоу СД,,3,перенесено,,Number of shows,IQ44,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ44
b2c_spb,45,Отменено СД,,0,перенесено,,Number of shows cancelled,IQ45,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ45
b2c_spb,46,"Кол-во, где не выкуплены билеты",,0,перенесено,,Number of cancelled non-SD shows - no tickets sold,IQ46,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ46
b2c_spb,47,Кол-во из-за спецпоказов,,0,перенесено,,Number of cancelled non-SD shows - special shows,IQ47,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ47
b2c_spb,48,Кол-во из-за дефицита актёров/ мастеров,,0,перенесено,,Number of cancelled non-SD shows - actor/master shortage,IQ48,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ48
b2c_spb,49,Зрители (без СД),36,147,перенесено,,Number of show visitors,IQ49,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ49
b2c_spb,50,Зрители СД,,31,перенесено,,Number of show visitors,IQ50,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ50
b2c_spb,52,Средняя загрузка шоу,"3,27","4,45",не перенесено,not_map_to_metric,,IQ52,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ52
b2c_spb,53,Средняя загрузка СД,,"10,33",не перенесено,not_map_to_metric,,IQ53,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ53
b2c_spb,56,Кол-во новых на Яндекс-картах,,4,не перенесено,missing_staging_row,Number of new Yandex Maps reviews,IQ56,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ56
b2c_spb,57,Из них настоящих,,2,не перенесено,missing_staging_row,Number of genuine reviews,IQ57,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ57
b2c_spb,58,Из них ненастоящих,,2,не перенесено,missing_staging_row,Number of non-genuine reviews,IQ58,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ58
b2c_spb,59,Средняя оценка по отзывам за неделю (общая),,"5,0",не перенесено,missing_staging_row,Average review rating weekly overall,IQ59,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ59
b2c_spb,60,Средняя оценка по отзывам за неделю (по настоящим),,"5,0",не перенесено,missing_staging_row,Average review rating weekly genuine,IQ60,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ60
b2c_spb,61,Процент негативных (от посетивших),,0%,не перенесено,missing_staging_row,Share of negative reviews from visitors,IQ61,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ61
b2c_spb,64,Средняя общая,,"4,8",не перенесено,missing_staging_row,Average review rating overall,IQ64,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ64
b2c_spb,114,Процент заполненных протоколов ПОСЛЕ спектакля,,67%,не перенесено,not_map_to_metric,Quality - Internal,IQ114,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ114
b2c_spb,115,Всего заполненных ОГ,,10,не перенесено,missing_staging_row,Number of completed OG protocols,IQ115,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ115
b2c_spb,116,Процент от общего количества ОГ,,59%,не перенесено,not_map_to_metric,Quality - Internal,IQ116,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ116
b2c_spb,118,Процент ОГ с убийствами,,20%,не перенесено,missing_staging_row,Share of OG with murders,IQ118,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ118
b2c_spb,119,Процент ОГ с убийствами больше 1,,10%,не перенесено,missing_staging_row,Share of OG with more than one murder,IQ119,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ119
b2c_spb,120,Процент ОГ с 1 убийством,,10%,не перенесено,missing_staging_row,Share of OG with one murder,IQ120,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ120
b2c_spb,121,Количество погибших всего на ОГ,,9,не перенесено,missing_staging_row,Number of deaths on OG,IQ121,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ121
b2c_spb,122,"Процент убитых от общего кол-ва зрителей, прошедших через мастера на ог",,11%,не перенесено,missing_staging_row,Share killed of total viewers passed through master on OG,IQ122,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ122
b2c_spb,123,"Процент ОГ, где зрители вышли за фельдшером/ выжили",,90%,не перенесено,missing_staging_row,Share of OG where viewers went for paramedic and survived,IQ123,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ123
b2c_spb,124,"Процент ОГ, где зрители не вышли за фельдшером/ не выжили",,10%,не перенесено,missing_staging_row,Share of OG where viewers did not go for paramedic and did not survive,IQ124,https://docs.google.com/spreadsheets/d/1q71g1XD5fwTMo7xbEe1fGvXVTRyPfEswCPxyjVTEZi0/edit?gid=1411303700#gid=1411303700&range=Статистика_понедельно!IQ124
