unit,metric_name,scope,status,value,reason
b2c_moscow,Number of orders,"show:Поезд, Чехов, два орла|partner:афиша.ру",inserted,1,
b2c_moscow,Revenue,"show:Поезд, Чехов, два орла|partner:афиша.ру",inserted,9200,
b2c_moscow,Number of shows,show:До свадьбы доживёт,inserted,11,
b2c_moscow,Number of shows,show:Ответ Гиппократа,inserted,13,
b2c_moscow,Number of shows,"show:Поезд, Чехов, два орла",inserted,12,
b2c_moscow,Number of shows,show:22'07,inserted,7,
b2c_moscow,Number of shows,show:Судный день,inserted,5,
b2c_moscow,Number of shows,show:ВДОХ,inserted,3,
b2c_moscow,Number of shows,show:Загадка Амулета,inserted,2,
b2c_moscow,Number of shows,show:Иное место,inserted,1,
b2c_moscow,Number of shows cancelled,show:Ответ Гиппократа,inserted,8,
b2c_moscow,Number of shows cancelled,show:До свадьбы доживёт,inserted,3,
b2c_moscow,Number of shows cancelled,"show:Поезд, Чехов, два орла",inserted,1,
b2c_moscow,Number of shows cancelled,show:22'07,inserted,1,
b2c_moscow,Number of show visitors,show:До свадьбы доживёт,inserted,44,
b2c_moscow,Number of show visitors,show:Ответ Гиппократа,inserted,59,
b2c_moscow,Number of show visitors,"show:Поезд, Чехов, два орла",inserted,60,
b2c_moscow,Number of show visitors,show:22'07,inserted,32,
b2c_moscow,Number of show visitors,show:Судный день,inserted,55,
b2c_moscow,Number of show visitors,show:ВДОХ,inserted,9,
b2c_moscow,Number of show visitors,show:Загадка Амулета,inserted,11,
b2c_moscow,Number of show visitors,show:Иное место,inserted,4,
b2c_moscow,Source share,,skipped,,direct_erp_source_share_not_available
b2c_moscow,Quality - Internal,survey,skipped,,survey_endpoints_not_working
b2c_spb,Number of tickets,general,inserted,109,
b2c_spb,Number of orders,general,inserted,56,
b2c_spb,Revenue,general,inserted,379125,
b2c_spb,Website orders,general,inserted,35,
b2c_spb,Revenue - Show date,general,inserted,471000,
b2c_spb,show_join,,skipped,5,missing_show_join
b2c_spb,Number of tickets,show:Ответ Гиппократа,inserted,48,
b2c_spb,Number of orders,show:Ответ Гиппократа,inserted,22,
b2c_spb,Revenue,show:Ответ Гиппократа,inserted,158000,
b2c_spb,Number of tickets,show:До свадьбы доживёт,inserted,28,
b2c_spb,Number of orders,show:До свадьбы доживёт,inserted,13,
b2c_spb,Revenue,show:До свадьбы доживёт,inserted,87500,
b2c_spb,Number of tickets,show:Судный день,inserted,19,
b2c_spb,Number of orders,show:Судный день,inserted,11,
b2c_spb,Revenue,show:Судный день,inserted,85500,
b2c_spb,Number of tickets,show:22'07,inserted,6,
b2c_spb,Number of orders,show:22'07,inserted,3,
b2c_spb,Revenue,show:22'07,inserted,19000,
b2c_spb,Number of tickets,show:ВДОХ,inserted,3,
b2c_spb,Number of orders,show:ВДОХ,inserted,2,
b2c_spb,Revenue,show:ВДОХ,inserted,9000,
b2c_spb,Revenue - Show date,show:Ответ Гиппократа,inserted,193500,
b2c_spb,Revenue - Show date,show:22'07,inserted,21000,
b2c_spb,Revenue - Show date,show:До свадьбы доживёт,inserted,140000,
b2c_spb,Revenue - Show date,show:Судный день,inserted,68500,
b2c_spb,Revenue - Show date,show:Загадка Амулета,inserted,9000,
b2c_spb,Revenue - Show date,show:ВДОХ,inserted,39000,
b2c_spb,Number of tickets,partner:афиша.ру,inserted,23,
b2c_spb,Number of orders,partner:афиша.ру,inserted,11,
b2c_spb,Revenue,partner:афиша.ру,inserted,75000,
b2c_spb,Number of tickets,partner:яндекс.афиша,inserted,17,
b2c_spb,Number of orders,partner:яндекс.афиша,inserted,9,
b2c_spb,Revenue,partner:яндекс.афиша,inserted,62500,
b2c_spb,Number of tickets,partner:кассир,inserted,2,
b2c_spb,Number of orders,partner:кассир,inserted,1,
b2c_spb,Revenue,partner:кассир,inserted,6000,
b2c_spb,Number of tickets,show:Ответ Гиппократа|partner:афиша.ру,inserted,7,
b2c_spb,Number of orders,show:Ответ Гиппократа|partner:афиша.ру,inserted,3,
b2c_spb,Revenue,show:Ответ Гиппократа|partner:афиша.ру,inserted,24000,
b2c_spb,Number of tickets,show:Судный день|partner:яндекс.афиша,inserted,5,
b2c_spb,Number of orders,show:Судный день|partner:яндекс.афиша,inserted,3,
b2c_spb,Revenue,show:Судный день|partner:яндекс.афиша,inserted,22500,
b2c_spb,Number of tickets,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,2,
b2c_spb,Number of orders,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,1,
b2c_spb,Revenue,show:До свадьбы доживёт|partner:яндекс.афиша,inserted,7000,
b2c_spb,Number of tickets,show:22'07|partner:афиша.ру,inserted,4,
b2c_spb,Number of orders,show:22'07|partner:афиша.ру,inserted,2,
b2c_spb,Revenue,show:22'07|partner:афиша.ру,inserted,12000,
b2c_spb,Number of tickets,show:До свадьбы доживёт|partner:афиша.ру,inserted,11,
b2c_spb,Number of orders,show:До свадьбы доживёт|partner:афиша.ру,inserted,5,
b2c_spb,Revenue,show:До свадьбы доживёт|partner:афиша.ру,inserted,34500,
b2c_spb,Number of tickets,show:Ответ Гиппократа|partner:кассир,inserted,2,
b2c_spb,Number of orders,show:Ответ Гиппократа|partner:кассир,inserted,1,
b2c_spb,Revenue,show:Ответ Гиппократа|partner:кассир,inserted,6000,
b2c_spb,Number of tickets,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,10,
b2c_spb,Number of orders,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,5,
b2c_spb,Revenue,show:Ответ Гиппократа|partner:яндекс.афиша,inserted,33000,
b2c_spb,Number of tickets,show:Судный день|partner:афиша.ру,inserted,1,
b2c_spb,Number of orders,show:Судный день|partner:афиша.ру,inserted,1,
b2c_spb,Revenue,show:Судный день|partner:афиша.ру,inserted,4500,
b2c_spb,Number of shows,show:Ответ Гиппократа,inserted,15,
